

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is funded by the National Aeronautics and Space Administration.
and operated by the California Institute of Technology.


queryDateTime:2025-04-12T14:47:45PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
57|WISEA J100023.70+333506.8|150.09873 |  33.58520 |QSO|1044618| 3.484469 |SLS |20.4g|  0.000|27|0|38|10|16|8|0
58|WISEA J100024.57+400716.1|150.10221 |  40.12113 |*|699884| 2.334561 |SLS |20.1g|  0.000|12|0|17|4|4|4|0
59|WISEA J100024.55+380704.5|150.10231 |  38.11793 |QSO|446751| 1.490201 |SLS |19.6g|  0.000|26|0|42|9|12|8|0
60|WISEA J100026.81+442103.5|150.11137 |  44.35101 |*|898543| 2.997215 |SLS |20.8g|  0.000|10|0|17|4|3|4|0
61|WISEA J100027.34+533342.8|150.11395 |  53.56190 |UvES|479188| 1.598400 |SLS |19.9r|  0.000|5|0|17|3|3|4|0
62|WISEA J100027.50+311442.6|150.11452 |  31.24487 |QSO|491209| 1.638497 |SLS |21.3g|  0.000|12|0|17|5|5|4|0
63|WISEA J100027.86+531834.8|150.11609 |  53.30969 |QSO|343067| 1.144348 |SLS |19.0g|  0.000|31|0|45|9|14|8|0
64|WISEA J100027.90+503753.2|150.11627 |  50.63145 |QSO|576287| 1.922287 |SLS |19.3g|  0.000|31|0|38|8|14|8|0
65|WISEA J100029.18+363052.9|150.12159 |  36.51470 |QSO|529449| 1.766051 |SLS |20.2g|  0.000|19|0|38|6|10|8|0
66|WISEA J100029.98+430145.3|150.12494 |  43.02926 |QSO|518866| 1.730751 |SLS |19.6g|  0.000|27|0|48|8|12|8|0
67|WISEA J100030.22+444106.0|150.12560 |  44.68485 |*|741196| 2.472362 |SLS |20.7g|  0.000|13|0|17|7|7|4|0
68|WISEA J100030.75+584154.0|150.12814 |  58.69828 |QSO|654634| 2.183625 |SLS |20.4g|  0.000|21|0|50|7|11|8|0
69|SDSS J100031.08+305853.6|150.12954 |  30.98158 |QSO|615762| 2.053961 |SLS |20.8g|  0.000|14|0|9|5|5|4|0
70|WISEA J100031.34+362700.2|150.13046 |  36.45020 |QSO|498994| 1.664465 |SLS |20.2g|  0.000|18|0|41|7|10|8|0
71|WISEA J100032.42+351307.1|150.13517 |  35.21878 |QSO|597669| 1.993609 |SLS |19.2g|  0.000|27|0|42|10|15|8|0
72|WISEA J100032.75+443323.8|150.13649 |  44.55662 |QSO|335393| 1.118750 |SLS |19.4g|  0.000|31|0|43|9|13|8|0
73|WISEA J100032.91+311536.0|150.13713 |  31.26001 |QSO|327423| 1.092166 |SLS |21.0g|  0.000|12|0|17|4|4|4|0
74|WISEA J100033.55+381317.9|150.13980 |  38.22167 |QSO|191961| 0.640313 |SLS |17.7g|  0.000|37|0|54|9|15|8|1
75|WISEA J100033.61+455823.4|150.14006 |  45.97318 |QSO|259809| 0.866629 |SLS |20.4g|  0.000|11|0|22|7|5|4|0
76|WISEA J100033.69+452942.6|150.14040 |  45.49519 |QSO|373796| 1.246848 |SLS |18.7g|  0.000|30|0|44|10|14|8|0
77|WISEA J100034.14+373508.1|150.14226 |  37.58559 |QSO|391427| 1.305660 |SLS |18.8g|  0.000|27|0|46|10|13|8|0
78|WISEA J100034.16+540628.7|150.14236 |  54.10797 |QSO|363438| 1.212298 |SLS |19.3g|  0.000|31|0|46|9|14|8|0
79|WISEA J100034.69+400943.3|150.14455 |  40.16203 |QSO|402199| 1.341592 |SLS |18.6g|  0.000|23|0|42|8|11|8|0
80|WISEA J100034.86+540641.3|150.14529 |  54.11149 |QSO|365747| 1.220000 |SLS |19.5g|  0.000|5|0|21|4|3|4|0
81|WISEA J100034.94+452159.1|150.14559 |  45.36642 |QSO|452670| 1.509943 |SLS |21.1g|  0.000|20|0|39|5|8|8|0
82|WISEA J100034.96+324057.3|150.14568 |  32.68259 |QSO|270214| 0.901336 |SLS |19.1g|  0.000|25|0|41|9|11|8|0
83|WISEA J100035.24+380013.4|150.14686 |  38.00372 |*|758872| 2.531324 |SLS |18.6g|  0.000|12|0|17|8|6|4|0
84|WISEA J100036.44+511653.0|150.15187 |  51.28140 |G| 34981| 0.116683 |SLS |17.9g|  0.000|20|0|68|14|9|10|0
85|WISEA J100036.82+362259.8|150.15342 |  36.38329 |QSO|271628| 0.906052 |SLS |18.0g|  0.000|26|0|45|9|12|8|0
86|WISEA J100036.93+441958.1|150.15410 |  44.33284 |*|720245| 2.402478 |SLS |21.2g|  0.000|12|0|40|9|5|4|0
